code_commune,population,nb_medecins,prix_moyen,densite_medecins,tension_medicale,prix_par_medecin,score_tension,categorie
44095,1614,,48145.25795454546,,,,,inconnu
44096,4775,4.0,232765.164048583,0.837696335078534,1193.75,58191.29101214575,-0.3928479547717282,correct
44097,2206,1.0,356517.5603351955,0.45330915684496825,2206.0,356517.5603351955,0.7796904731337672,tension
44098,5717,5.0,197497.55122194515,0.8745845723281441,1143.4,39499.51024438903,-0.45117080964457734,correct
44099,2024,4.0,107276.11723404255,1.976284584980237,506.0,26819.02930851064,-1.1895022435264868,correct
44100,2399,2.0,143535.63340248962,0.8336807002917883,1199.5,71767.81670124481,-0.3861874499947891,correct
44101,6657,9.0,242843.7436746988,1.3519603424966202,739.6666666666666,26982.638186077646,-0.9188347740404401,correct
44102,3418,1.0,195946.03179856116,0.29256875365710944,3418.0,195946.03179856116,2.1836090452468424,désert médical
44103,7385,2.0,220546.8484304933,0.2708192281651997,3692.5,110273.42421524665,2.5015757515546304,désert médical
44104,850,,107551.650647482,,,,,inconnu
44105,363,,56437.96153846154,,,,,inconnu
44106,1866,1.0,258581.7201351351,0.5359056806002144,1866.0,258581.7201351351,0.3858519298017164,tension
44107,2036,,144103.40125,,,,,inconnu
44108,2953,,151779.44475324673,,,,,inconnu
44109,329809,380.0,761577.4126911208,1.1521820205027757,867.9184210526316,2004.1510860292651,-0.7702745266076507,correct
44110,9639,13.0,213721.5678886311,1.3486876231974272,741.4615384615385,16440.120606817778,-0.9167556867076163,correct
44111,2374,1.0,112918.23408560312,0.42122999157540014,2374.0,112918.23408560312,0.9742930474860746,tension
44112,590,,82653.40000000001,,,,,inconnu
44113,4369,5.0,296306.85873605945,1.1444266422522318,873.8,59261.37174721189,-0.7634616075337566,correct
44114,28949,27.0,4204704.54081767,0.9326747037894227,1072.1851851851852,155729.79780806185,-0.5336623947337786,correct
44115,3995,,230712.47383512545,,,,,inconnu
44116,3129,1.0,141266.17269076305,0.31959092361776925,3129.0,141266.17269076305,1.8488462834145991,désert médical
44117,3431,2.0,167082.54280254777,0.5829204313611193,1715.5,83541.27140127389,0.21152045694444094,tension
44118,1481,,83280.19822916666,,,,,inconnu
44119,2071,1.0,162427.11573643412,0.48285852245292127,2071.0,162427.11573643412,0.6233134044578058,tension
44120,5555,4.0,170218.05360215052,0.7200720072007201,1388.75,42554.51340053763,-0.16696996668422845,correct
44121,441,,123886.3450980392,,,,,inconnu
44122,3936,,227040.9948739496,,,,,inconnu
44123,1026,,89626.21528089888,,,,,inconnu
44124,841,,126726.04156862744,,,,,inconnu
44125,2725,,439624.6572687225,,,,,inconnu
44126,4692,2.0,304346.8560923077,0.42625745950554134,2346.0,152173.42804615386,0.9418592850940234,tension
44127,2844,2.0,112625.43176991148,0.7032348804500703,1422.0,56312.71588495574,-0.1284548738436676,correct
44128,5385,4.0,136447.1112865497,0.7428040854224698,1346.25,34111.77782163743,-0.2161997846007348,correct
44129,11557,9.0,207008.65923076923,0.7787488102448733,1284.111111111111,23000.962136752136,-0.2881782830838882,correct
44130,7027,9.0,223125.68071428573,1.2807741568236801,780.7777777777778,24791.742301587303,-0.8712137737029045,correct
44131,18868,25.0,486502.3665307893,1.3249947000212,754.72,19460.09466123157,-0.901397765592523,correct
44132,12837,17.0,459268.5510055351,1.3242969541170055,755.1176470588235,27015.797117972656,-0.9009371516560309,correct
