REG,Région,DEP,CODARR,CODCAN,CODCOM,COM,Commune,PMUN,PCAP,PTOT,code_departement
52,Pays de la Loire,44,3,02,135,44135,Le Pouliguen,4007,107,4114,44
52,Pays de la Loire,44,3,20,136,44136,Préfailles,1246,29,1275,44
52,Pays de la Loire,44,3,03,137,44137,Prinquiau,3557,66,3623,44
52,Pays de la Loire,44,5,08,138,44138,Puceul,1124,17,1141,44
52,Pays de la Loire,44,3,03,139,44139,Quilly,1541,22,1563,44
52,Pays de la Loire,44,2,30,140,44140,La Regrippière,1559,26,1585,44
52,Pays de la Loire,44,2,30,141,44141,La Remaudière,1288,13,1301,44
52,Pays de la Loire,44,2,07,142,44142,Remouillé,1932,38,1970,44
52,Pays de la Loire,44,2,,143,44143,Rezé,43349,706,44055,44
52,Pays de la Loire,44,5,18,144,44144,Riaillé,2358,51,2409,44
52,Pays de la Loire,44,2,10,145,44145,Rouans,3272,52,3324,44
52,Pays de la Loire,44,5,06,146,44146,Rougé,2152,39,2191,44
52,Pays de la Loire,44,5,06,148,44148,Ruffigné,705,12,717,44
52,Pays de la Loire,44,5,08,149,44149,Saffré,4075,58,4133,44
52,Pays de la Loire,44,2,21,150,44150,Saint-Aignan-Grandlieu,3991,52,4043,44
52,Pays de la Loire,44,3,02,151,44151,Saint-André-des-Eaux,6949,181,7130,44
52,Pays de la Loire,44,3,19,152,44152,Sainte-Anne-sur-Brivet,3014,53,3067,44
52,Pays de la Loire,44,5,06,153,44153,Saint-Aubin-des-Châteaux,1749,49,1798,44
52,Pays de la Loire,44,3,23,154,44154,Saint-Brevin-les-Pins,14645,363,15008,44
52,Pays de la Loire,44,2,28,155,44155,Saint-Colomban,3499,72,3571,44
52,Pays de la Loire,44,2,28,156,44156,Corcoué-sur-Logne,3209,44,3253,44
52,Pays de la Loire,44,2,10,157,44157,Saint-Étienne-de-Mer-Morte,1764,21,1785,44
52,Pays de la Loire,44,2,03,158,44158,Saint-Étienne-de-Montluc,7739,195,7934,44
52,Pays de la Loire,44,2,31,159,44159,Saint-Fiacre-sur-Maine,1246,26,1272,44
52,Pays de la Loire,44,3,19,161,44161,Saint-Gildas-des-Bois,3790,70,3860,44
52,Pays de la Loire,44,2,,162,44162,Saint-Herblain,50561,721,51282,44
52,Pays de la Loire,44,5,01,163,44163,Vair-sur-Loire,4890,109,4999,44
52,Pays de la Loire,44,3,10,164,44164,Saint-Hilaire-de-Chaléons,2376,47,2423,44
52,Pays de la Loire,44,2,07,165,44165,Saint-Hilaire-de-Clisson,2405,47,2452,44
52,Pays de la Loire,44,2,23,166,44166,Saint-Jean-de-Boiseau,6024,98,6122,44
52,Pays de la Loire,44,3,09,168,44168,Saint-Joachim,4125,57,4182,44
52,Pays de la Loire,44,2,30,169,44169,Saint-Julien-de-Concelles,7768,124,7892,44
52,Pays de la Loire,44,5,06,170,44170,Saint-Julien-de-Vouvantes,963,20,983,44
52,Pays de la Loire,44,2,21,171,44171,Saint-Léger-les-Vignes,2114,28,2142,44
52,Pays de la Loire,44,2,04,172,44172,Sainte-Luce-sur-Loire,16227,285,16512,44
52,Pays de la Loire,44,2,07,173,44173,Saint-Lumine-de-Clisson,2118,45,2163,44
52,Pays de la Loire,44,2,28,174,44174,Saint-Lumine-de-Coutais,2390,41,2431,44
52,Pays de la Loire,44,3,09,175,44175,Saint-Lyphard,5246,106,5352,44
52,Pays de la Loire,44,3,27,176,44176,Saint-Malo-de-Guersac,3221,52,3273,44
52,Pays de la Loire,44,2,10,178,44178,Saint-Mars-de-Coutais,2644,46,2690,44
52,Pays de la Loire,44,5,18,179,44179,Saint-Mars-du-Désert,5435,85,5520,44
52,Pays de la Loire,44,5,01,180,44180,Vallons-de-l'Erdre,6625,109,6734,44
52,Pays de la Loire,44,3,20,182,44182,Saint-Michel-Chef-Chef,5520,103,5623,44
52,Pays de la Loire,44,3,09,183,44183,Saint-Molf,2859,60,2919,44
52,Pays de la Loire,44,3,,184,44184,Saint-Nazaire,73111,1667,74778,44
52,Pays de la Loire,44,5,19,185,44185,Saint-Nicolas-de-Redon,3304,63,3367,44
52,Pays de la Loire,44,2,10,186,44186,Sainte-Pazanne,7209,145,7354,44
52,Pays de la Loire,44,3,23,187,44187,Saint-Père-en-Retz,4701,146,4847,44
52,Pays de la Loire,44,2,28,188,44188,Saint-Philbert-de-Grand-Lieu,9392,205,9597,44
52,Pays de la Loire,44,3,19,189,44189,Sainte-Reine-de-Bretagne,2447,34,2481,44
52,Pays de la Loire,44,2,29,190,44190,Saint-Sébastien-sur-Loire,28373,623,28996,44
52,Pays de la Loire,44,3,23,192,44192,Saint-Viaud,2846,56,2902,44
52,Pays de la Loire,44,5,08,193,44193,Saint-Vincent-des-Landes,1527,21,1548,44
52,Pays de la Loire,44,2,24,194,44194,Sautron,8534,128,8662,44
52,Pays de la Loire,44,3,03,195,44195,Savenay,9465,193,9658,44
52,Pays de la Loire,44,3,19,196,44196,Sévérac,1693,26,1719,44
52,Pays de la Loire,44,5,08,197,44197,Sion-les-Mines,1658,34,1692,44
52,Pays de la Loire,44,2,31,198,44198,Les Sorinières,9163,117,9280,44
52,Pays de la Loire,44,5,06,199,44199,Soudan,1965,49,2014,44
52,Pays de la Loire,44,5,06,200,44200,Soulvache,339,8,347,44
52,Pays de la Loire,44,5,05,201,44201,Sucé-sur-Erdre,7457,172,7629,44
52,Pays de la Loire,44,5,18,202,44202,Teillé,1820,25,1845,44
52,Pays de la Loire,44,2,03,203,44203,Le Temple-de-Bretagne,2005,36,2041,44
52,Pays de la Loire,44,2,04,204,44204,Thouaré-sur-Loire,10956,167,11123,44
52,Pays de la Loire,44,5,18,205,44205,Les Touches,2619,35,2654,44
52,Pays de la Loire,44,2,28,206,44206,Touvois,1936,27,1963,44
52,Pays de la Loire,44,5,18,207,44207,Trans-sur-Erdre,1124,10,1134,44
52,Pays de la Loire,44,5,08,208,44208,Treffieux,976,8,984,44
52,Pays de la Loire,44,5,05,209,44209,Treillières,10414,207,10621,44
52,Pays de la Loire,44,3,27,210,44210,Trignac,8234,82,8316,44
52,Pays de la Loire,44,3,09,211,44211,La Turballe,4862,109,4971,44
52,Pays de la Loire,44,2,30,212,44212,Vallet,9524,214,9738,44
52,Pays de la Loire,44,5,01,213,44213,Loireauxence,7509,127,7636,44
52,Pays de la Loire,44,5,08,214,44214,Vay,2084,41,2125,44
52,Pays de la Loire,44,2,31,215,44215,Vertou,26048,439,26487,44
52,Pays de la Loire,44,2,07,216,44216,Vieillevigne,4110,59,4169,44
52,Pays de la Loire,44,5,05,217,44217,Vigneux-de-Bretagne,6633,97,6730,44
52,Pays de la Loire,44,5,06,218,44218,Villepot,687,15,702,44
52,Pays de la Loire,44,2,10,220,44220,Vue,1716,23,1739,44
52,Pays de la Loire,44,5,08,221,44221,La Chevallerais,1559,24,1583,44
52,Pays de la Loire,44,5,01,222,44222,La Roche-Blanche,1258,19,1277,44
52,Pays de la Loire,44,2,28,223,44223,Geneston,3691,66,3757,44
52,Pays de la Loire,44,5,08,224,44224,La Grigonnais,1815,22,1837,44
